date,zoom,teams,skype,hangouts,whatsapp,telegram,viber,tiktok,refugiados,inmigracion,nacionalismo,corrupcion,juicio,guerra comercial,coronavirus,pandemia,infeccion,medico,amazon,netflix,hbo,rakuten,team,cabify,taxi,glovo,just eat,deliveroo,uber eats,comida a domicilio,hacer deporte,yoga,meditacion,teletrabajo,videollamada,videoconferencia,cursos online
2019-09-22,4,7,7,5,44,30,33,56,29,40,15,28,27,14,0,0,78,92,50,36,26,26,73,29,56,43,72,82,29,39,30,48,55,4,2,5,35
2019-09-29,5,9,6,6,44,30,52,5,34,57,23,23,29,27,0,0,74,87,51,35,28,23,74,28,56,51,72,80,37,48,28,51,53,3,2,3,30
2019-10-06,6,9,7,5,45,36,52,6,32,49,24,32,31,25,0,0,81,88,51,34,26,23,71,29,54,50,74,100,43,50,27,49,47,4,3,5,31
2019-10-13,5,9,7,6,44,59,60,6,41,50,95,34,41,24,0,0,69,91,51,33,25,24,72,28,51,54,83,77,54,47,23,43,43,4,2,3,27
2019-10-20,5,8,7,6,43,37,65,6,27,50,100,36,25,26,0,0,71,86,55,34,29,24,64,19,49,50,79,85,63,44,27,40,50,4,2,5,28
2019-10-27,5,6,5,4,41,33,70,9,40,55,66,33,23,21,0,0,66,81,53,39,28,24,67,26,52,62,84,82,74,55,15,39,53,3,3,1,28
2019-11-03,4,10,6,5,45,32,41,9,40,100,55,36,31,17,0,0,74,97,59,38,29,26,66,21,46,63,75,93,60,44,27,46,50,3,2,1,28
2019-11-10,5,8,7,6,45,35,50,7,51,97,65,68,34,14,0,0,69,83,62,37,27,28,69,24,43,46,82,78,70,46,20,42,37,4,2,4,25
2019-11-17,5,7,5,6,47,30,41,8,47,66,47,100,41,12,0,0,75,87,73,38,29,50,71,25,48,51,84,73,78,51,28,44,45,4,2,3,27
2019-11-24,7,7,6,6,43,30,84,10,68,62,49,29,36,27,0,0,63,83,100,33,28,100,66,26,45,53,85,96,94,45,23,43,46,3,3,3,22
2019-12-01,5,7,5,6,45,26,52,11,40,31,36,35,27,21,0,0,74,74,82,38,29,58,68,30,64,51,98,82,85,57,23,38,33,2,2,2,20
2019-12-08,5,6,6,5,47,28,63,11,36,59,37,32,27,7,0,0,69,83,81,38,29,37,68,36,54,52,81,79,78,50,23,38,52,2,3,3,18
2019-12-15,5,8,6,5,48,32,56,12,46,57,26,40,27,7,0,0,73,81,84,41,27,27,66,28,60,50,87,77,76,48,20,40,51,4,4,3,20
2019-12-22,6,4,5,4,46,25,67,16,20,24,21,26,16,4,0,0,70,65,83,50,32,38,64,28,64,59,83,82,59,65,20,36,43,2,5,1,13
2019-12-29,6,3,4,4,41,29,46,20,26,35,34,34,15,0,0,0,72,69,80,52,34,29,61,31,76,58,100,65,64,66,33,42,42,2,3,3,19
2020-01-05,6,7,6,5,47,28,38,18,59,57,32,36,21,7,0,0,78,87,71,47,29,25,68,19,42,55,87,78,63,44,36,45,50,2,3,4,22
2020-01-12,5,9,6,6,46,31,30,21,49,55,30,38,24,10,0,0,76,97,62,41,29,27,68,19,39,46,80,78,58,48,33,49,45,3,3,3,27
2020-01-19,4,8,6,5,49,29,51,21,55,54,35,29,30,6,2,3,71,90,57,41,23,25,56,26,41,55,77,84,63,44,25,42,42,3,2,6,28
2020-01-26,5,11,5,5,45,31,48,19,49,70,24,20,29,7,8,5,79,99,57,39,24,22,72,21,41,57,70,61,66,44,29,45,52,2,2,2,29
2020-02-02,5,11,6,6,47,29,31,17,35,51,34,23,30,13,5,3,77,100,58,37,25,22,67,23,41,57,74,74,65,44,30,46,56,3,2,4,31
2020-02-09,5,8,6,5,48,32,35,21,38,44,28,31,28,10,5,2,79,94,57,38,24,27,68,24,45,61,75,65,77,39,29,43,52,4,2,3,35
2020-02-16,5,11,5,6,48,33,40,25,34,70,28,35,30,13,3,1,80,93,55,37,26,22,77,25,45,51,75,72,100,43,24,45,50,4,2,4,32
2020-02-23,5,9,5,5,47,31,43,23,34,50,39,27,23,10,30,42,86,89,54,38,25,19,81,22,46,52,80,69,82,50,26,42,47,5,3,3,21
2020-03-01,5,10,6,5,53,32,34,26,100,58,33,36,28,10,30,8,75,93,56,38,25,30,73,23,40,55,77,82,65,49,30,44,45,17,2,7,28
2020-03-08,10,35,25,24,54,32,46,26,55,30,26,23,24,11,100,100,86,91,51,54,33,21,65,15,32,57,59,83,75,53,51,39,40,100,13,39,27
2020-03-15,53,100,100,100,100,58,69,35,44,26,50,55,16,8,92,45,100,88,63,98,69,85,87,13,31,75,66,79,46,100,100,96,71,82,85,100,83
2020-03-22,74,71,63,75,93,57,100,41,36,37,42,39,14,12,70,48,93,65,69,90,60,66,78,7,25,80,57,84,40,97,74,94,75,55,68,89,100
2020-03-29,93,68,46,62,91,55,65,53,42,35,35,32,16,14,53,42,75,53,75,90,52,46,84,7,21,100,66,83,48,88,81,90,88,45,100,65,93
2020-04-05,100,45,40,45,84,63,57,59,25,40,34,35,16,6,49,31,84,48,91,100,64,59,78,7,20,96,81,96,59,100,97,100,100,29,66,63,88
2020-04-12,75,85,38,59,89,100,54,69,24,45,36,31,18,16,37,30,83,57,92,79,55,42,81,6,22,80,65,94,46,87,97,98,78,38,45,55,95
